File,Rep,Sched,P1,R1,B1,P2,R2,B2,SSMag,LLDelay,PropSS
ssmag115.xlsx,15,9,0.0,75.025,88.275,0.0,2.175,31.425,115.0,80.0,0.737468671679198
ssmag115.xlsx,16,1,0.0,0.125,0.125,0.0,84.375,348.525,115.0,5.0,0.0003585257421482863
ssmag115.xlsx,16,2,0.0,17.425,20.55,0.0,35.1,234.775,115.0,10.0,0.08048565553706061
ssmag115.xlsx,16,3,0.0,53.725,63.85,0.0,10.8,105.275,115.0,20.0,0.37753141167775317
ssmag115.xlsx,16,4,0.0,58.35,68.05,0.0,6.375,75.025,115.0,30.0,0.4756246723746287
ssmag115.xlsx,16,5,0.0,58.225,68.875,0.0,4.65,62.725,115.0,40.0,0.5233662613981763
ssmag115.xlsx,16,6,0.0,73.95,88.275,0.0,3.4,46.675,115.0,50.0,0.6541311596887737
ssmag115.xlsx,16,7,0.0,79.65,92.625,0.0,2.15,33.9,115.0,60.0,0.7320687611144042
ssmag115.xlsx,16,8,0.0,84.075,98.375,0.0,2.125,27.25,115.0,70.0,0.7830845771144279
ssmag115.xlsx,16,9,0.0,84.425,100.55,0.0,1.675,21.625,115.0,80.0,0.822999795375486
ssmag115.xlsx,17,1,0.0,1.825,2.175,0.0,78.15,333.325,115.0,5.0,0.006482861400894187
ssmag115.xlsx,17,2,0.0,26.025,30.375,0.0,32.15,208.675,115.0,10.0,0.12706546747542355
ssmag115.xlsx,17,3,0.0,57.65,68.1,0.0,10.45,101.0,115.0,20.0,0.4027202838557067
ssmag115.xlsx,17,4,0.0,69.575,82.075,0.0,5.475,60.4,115.0,30.0,0.576065976487103
ssmag115.xlsx,17,5,0.0,82.1,96.675,0.0,2.425,30.65,115.0,40.0,0.759277439623012
ssmag115.xlsx,17,6,0.0,60.45,71.225,0.0,3.7,51.3,115.0,50.0,0.5813099367476026
ssmag115.xlsx,17,7,0.0,75.05,87.175,0.0,2.425,36.1,115.0,60.0,0.707158791320219
ssmag115.xlsx,17,8,0.0,81.325,95.525,0.0,1.85,32.425,115.0,70.0,0.7465806955842126
ssmag115.xlsx,17,9,0.0,81.825,95.875,0.0,1.875,29.275,115.0,80.0,0.7660807031562125
ssmag115.xlsx,18,1,0.0,1.625,1.85,0.0,77.65,331.325,115.0,5.0,0.005552637502813837
ssmag115.xlsx,18,2,0.0,13.025,15.2,0.0,36.925,247.6,115.0,10.0,0.0578386605783866
ssmag115.xlsx,18,3,0.0,66.8,78.825,0.0,7.325,69.425,115.0,20.0,0.5317032040472176
ssmag115.xlsx,18,4,0.0,69.25,81.875,0.0,5.2,61.3,115.0,30.0,0.571852627902916
ssmag115.xlsx,18,5,0.0,72.0,85.05,0.0,3.725,48.3,115.0,40.0,0.6377952755905512
ssmag115.xlsx,18,6,0.0,76.4,89.05,0.0,3.0,40.725,115.0,50.0,0.6861876324407628
ssmag115.xlsx,18,7,0.0,77.325,91.05,0.0,2.075,30.925,115.0,60.0,0.7464644394343103
ssmag115.xlsx,18,8,0.0,73.425,87.875,0.0,2.375,38.15,115.0,70.0,0.6972822852608609
ssmag115.xlsx,18,9,0.0,88.875,104.9,0.0,1.525,21.775,115.0,80.0,0.8281034142490625
ssmag115.xlsx,19,1,0.0,0.05,0.05,0.0,81.15,345.2,115.0,5.0,0.00014482259232440262
ssmag115.xlsx,19,2,0.0,14.325,16.775,0.0,35.55,238.65,115.0,10.0,0.06567485563276891
ssmag115.xlsx,19,3,0.0,43.925,50.975,0.0,11.575,118.525,115.0,20.0,0.3007374631268437
ssmag115.xlsx,19,4,0.0,54.825,63.975,0.0,7.1,86.025,115.0,30.0,0.4265
ssmag115.xlsx,19,5,0.0,71.95,85.075,0.0,3.75,49.5,115.0,40.0,0.6321753668957831
ssmag115.xlsx,19,6,0.0,66.3,79.15,0.0,3.325,54.65,115.0,50.0,0.5915545590433483
ssmag115.xlsx,19,7,0.0,64.475,74.375,0.0,3.775,50.15,115.0,60.0,0.5972696245733788
ssmag115.xlsx,19,8,0.0,86.1,101.625,0.0,2.025,25.45,115.0,70.0,0.7997245721030887
ssmag115.xlsx,19,9,0.0,79.375,93.15,0.0,1.9,30.575,115.0,80.0,0.75287936956961
ssmag115.xlsx,20,1,0.0,0.05,0.05,0.0,82.625,344.45,115.0,5.0,0.0001451378809869376
ssmag115.xlsx,20,2,0.0,0.775,0.975,0.0,41.55,277.125,115.0,10.0,0.0035059331175836027
ssmag115.xlsx,20,3,0.0,37.45,44.475,0.0,13.925,134.925,115.0,20.0,0.24790969899665552
ssmag115.xlsx,20,4,0.0,58.2,68.4,0.0,7.025,75.65,115.0,30.0,0.4748351266921208
ssmag115.xlsx,20,5,0.0,84.75,99.65,0.0,2.35,29.775,115.0,40.0,0.7699439830017384
ssmag115.xlsx,20,6,0.0,60.375,71.025,0.0,4.275,62.225,115.0,50.0,0.5330206378986867
ssmag115.xlsx,20,7,0.0,84.175,99.25,0.0,2.075,30.225,115.0,60.0,0.7665572504344469
ssmag115.xlsx,20,8,0.0,94.175,110.675,0.0,1.1,17.6,115.0,70.0,0.8627947768466185
ssmag115.xlsx,20,9,0.0,82.15,95.825,0.0,1.65,25.75,115.0,80.0,0.7881965864692576
ssmag115.xlsx,21,1,0.0,3.3,3.775,0.0,80.45,333.7,115.0,5.0,0.01118601377879843
ssmag115.xlsx,21,2,0.0,36.8,43.5,0.0,27.95,184.325,115.0,10.0,0.19093602545813673
ssmag115.xlsx,21,3,0.0,49.925,58.525,0.0,10.3,106.75,115.0,20.0,0.354106791710785
ssmag115.xlsx,21,4,0.0,69.15,81.325,0.0,5.55,61.05,115.0,30.0,0.5712028094820017
ssmag115.xlsx,21,5,0.0,69.825,81.325,0.0,3.975,50.1,115.0,40.0,0.6187939889670915
ssmag115.xlsx,21,6,0.0,63.6,74.35,0.0,3.675,51.05,115.0,50.0,0.5929027113237639
ssmag115.xlsx,21,7,0.0,61.55,71.675,0.0,4.025,59.825,115.0,60.0,0.5450570342205323
ssmag115.xlsx,21,8,0.0,91.475,108.0,0.0,1.275,15.625,115.0,70.0,0.8736097067745198
ssmag115.xlsx,21,9,0.0,72.55,84.4,0.0,2.475,33.8,115.0,80.0,0.7140439932318106
ssmag115.xlsx,22,1,0.0,2.275,2.6,0.0,79.225,340.2,115.0,5.0,0.007584597432905484
